                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0082,                 1.6767,                 1.1545,                0.56094,                0.34523,                 0.2592,                0.12662,                 1.9253,                 3.2343,                 1.7856,              0.0011036,              0.0011036,              0.0011036
                     48,                 1.0623,                 1.7761,                 1.2008,                0.62981,                0.32066,                  0.253,                0.12679,                 1.8151,                 3.2222,                 1.6584,              0.0010965,              0.0010965,              0.0010965
                     49,                0.98605,                 1.4976,                 1.1569,                0.35087,                0.34911,                0.18345,                0.10174,                  1.766,                 3.2466,                 1.5825,              0.0010895,              0.0010895,              0.0010895
                     50,                0.93063,                 1.5367,                 1.0889,                  0.266,                0.35256,                0.18523,                0.12047,                 1.7873,                 3.0919,                 1.5581,              0.0010824,              0.0010824,              0.0010824
                     51,                0.91523,                 1.5119,                 1.1196,                0.40946,                0.24038,                0.27336,                0.18613,                 1.8258,                 2.9857,                 1.6387,              0.0010753,              0.0010753,              0.0010753
                     52,                0.90497,                 1.4932,                 1.0858,                0.40189,                0.31731,                0.29949,                0.19627,                   1.87,                 2.8102,                 1.6899,              0.0010682,              0.0010682,              0.0010682
                     53,                0.85525,                 1.3785,                 1.0718,                0.37479,                0.28606,                0.24659,                0.14883,                 1.8837,                  2.951,                 1.7135,              0.0010612,              0.0010612,              0.0010612
                     54,                0.84455,                 1.2062,                 1.0407,                 0.2944,                0.27564,                0.24926,                0.12982,                 1.9626,                 3.0559,                 1.7529,              0.0010541,              0.0010541,              0.0010541
                     55,                0.84472,                 1.3333,                 1.0673,                0.33094,                 0.2476,                0.19405,                0.11315,                 1.9502,                  3.098,                  1.743,               0.001047,               0.001047,               0.001047
                     56,                0.92149,                 1.3419,                 1.1403,                0.12624,                0.18429,                0.09756,                0.04904,                 1.9718,                 3.2047,                 1.7462,                0.00104,                0.00104,                0.00104
                     57,                0.85384,                 1.3343,                 1.0726,                0.12133,                0.13542,                 0.0809,                0.03709,                 2.0156,                 3.2711,                 1.8162,              0.0010329,              0.0010329,              0.0010329
                     58,                0.92967,                 1.3694,                 1.1704,                0.16761,                0.22997,                0.08084,                0.03346,                 2.0766,                 3.2963,                 1.8837,              0.0010258,              0.0010258,              0.0010258
                     59,                0.97982,                 1.3283,                 1.1825,                0.16709,                0.21955,                0.08309,                0.02808,                 2.1263,                 3.3553,                 1.9445,              0.0010187,              0.0010187,              0.0010187
                     60,                0.92674,                 1.2559,                 1.1272,                0.11791,                0.19471,                0.09407,                0.03954,                 2.0437,                 3.2655,                 1.8767,              0.0010117,              0.0010117,              0.0010117
                     61,                0.85704,                 1.1967,                 1.0081,                0.08679,                0.26442,                 0.1164,                0.06681,                   1.96,                 3.2434,                   1.81,              0.0010046,              0.0010046,              0.0010046
                     62,                0.92926,                 1.2912,                 1.1518,                0.10476,                0.34135,                0.11519,                0.06006,                 1.9813,                 3.4252,                 1.8179,             0.00099751,             0.00099751,             0.00099751
                     63,                0.89463,                 1.1849,                 1.0582,                0.09198,                0.32051,                0.10415,                0.05197,                 2.0564,                   3.56,                 1.8802,             0.00099044,             0.00099044,             0.00099044
                     64,                0.87002,                  1.198,                 1.0647,                  0.225,                0.22997,                0.13532,                0.07128,                 2.0477,                 3.4193,                  1.843,             0.00098337,             0.00098337,             0.00098337
                     65,                0.89319,                 1.3148,                 1.0856,                0.19404,                0.26457,                0.13337,                  0.068,                 2.0219,                 3.2218,                 1.8731,             0.00097629,             0.00097629,             0.00097629
                     66,                0.79961,                 1.2001,                 1.0417,                0.19579,                0.21234,                0.15247,                0.07487,                 2.0319,                 3.0982,                 1.9183,             0.00096922,             0.00096922,             0.00096922
                     67,                0.85703,                 1.1713,                 1.0884,                0.41026,                0.14984,                 0.1964,                 0.0911,                  2.001,                 2.8933,                 1.8779,             0.00096215,             0.00096215,             0.00096215
                     68,                0.89198,                 1.2515,                 1.1585,                0.32832,                0.23718,                0.18735,                0.08055,                 2.0291,                 2.9679,                 1.8883,             0.00095507,             0.00095507,             0.00095507
                     69,                0.77741,                 1.1135,                 1.0175,                0.23702,                0.21635,                 0.1164,                0.05496,                 2.2427,                 3.3336,                 2.1477,               0.000948,               0.000948,               0.000948
                     70,                0.80401,                 1.0616,                 1.0144,                0.20821,                0.17468,                0.08141,                0.03451,                  2.343,                 3.6986,                 2.2186,             0.00094093,             0.00094093,             0.00094093
                     71,                  0.751,                 1.1248,                 1.0572,                0.17726,                 0.1733,                0.08468,                0.03369,                 2.3037,                 3.8092,                 2.1585,             0.00093385,             0.00093385,             0.00093385
                     72,                0.74304,                 1.1172,                 1.0103,                0.22703,                0.15692,                0.11094,                0.05829,                 2.1408,                 3.5472,                 1.9648,             0.00092678,             0.00092678,             0.00092678
                     73,                0.85802,                 1.1475,                 1.0484,                0.27599,                0.28198,                0.18941,                0.08355,                 1.9395,                 3.0652,                 1.7765,              0.0009197,              0.0009197,              0.0009197
                     74,                0.80132,                 1.1573,                 1.0463,                0.40925,                0.26522,                0.26746,                0.14435,                 1.9093,                 2.8984,                 1.7584,             0.00091263,             0.00091263,             0.00091263
                     75,                0.74216,                 1.0225,                 1.0137,                0.39455,                0.29327,                0.26895,                0.14584,                 1.9335,                 3.0037,                 1.7922,             0.00090556,             0.00090556,             0.00090556
                     76,                0.87691,                 1.0723,                 1.0507,                0.27647,                0.37019,                0.24386,                0.13217,                 1.9808,                 3.1259,                  1.812,             0.00089848,             0.00089848,             0.00089848
                     77,                0.69533,                0.97301,                0.99306,                0.26671,                0.34612,                0.24067,                0.13551,                  1.973,                 3.2401,                 1.7856,             0.00089141,             0.00089141,             0.00089141
                     78,                0.72716,                0.99128,                0.98806,                0.27503,                0.28835,                0.20028,                0.11268,                 1.9053,                 3.3841,                   1.77,             0.00088434,             0.00088434,             0.00088434
                     79,                0.80336,                 1.0922,                 1.0769,                 0.2499,                 0.2516,                0.14009,                0.09793,                 1.8961,                 3.5955,                 1.7501,             0.00087726,             0.00087726,             0.00087726
                     80,                0.76243,                 1.1913,                 1.0624,                0.23089,                0.19551,                0.11592,                0.07788,                 1.9807,                 3.7419,                 1.8072,             0.00087019,             0.00087019,             0.00087019
                     81,                0.73153,                 1.0091,                 1.0458,                0.28404,                0.19551,                0.13263,                0.07914,                 2.0145,                 3.7666,                 1.8073,             0.00086312,             0.00086312,             0.00086312
                     82,                 0.7136,                 1.1477,                 1.0746,                0.36111,                 0.2447,                0.16637,                0.10398,                 2.0023,                 3.5587,                 1.7552,             0.00085604,             0.00085604,             0.00085604
                     83,                0.76875,                 1.0772,                 1.0219,                0.41627,                0.22676,                0.23486,                0.15167,                 2.0411,                 3.2311,                 1.7456,             0.00084897,             0.00084897,             0.00084897
                     84,                 0.7555,                 1.0382,                 1.0409,                0.49769,                0.26843,                0.29946,                0.17059,                 2.1875,                 3.0203,                 1.7772,              0.0008419,              0.0008419,              0.0008419
                     85,                0.85425,                 1.0357,                 1.1078,                0.32761,                0.24038,                 0.1944,                0.11605,                 2.3478,                  3.257,                  1.847,             0.00083482,             0.00083482,             0.00083482
                     86,                0.73008,                 1.1892,                 1.0586,                0.34658,                0.13942,                0.14672,                0.07808,                 2.3918,                 3.5841,                 1.9021,             0.00082775,             0.00082775,             0.00082775
                     87,                0.69622,                0.94352,                 1.0147,                0.17574,                0.05478,                0.16804,                0.09804,                 2.3531,                 3.6473,                  1.889,             0.00082067,             0.00082067,             0.00082067
                     88,                0.75897,                  1.084,                 1.0209,                0.12039,                0.05929,                0.17405,                0.10271,                 2.1991,                 3.6749,                 1.8708,              0.0008136,              0.0008136,              0.0008136
                     89,                0.74377,                 1.0347,                 1.0301,                0.24076,                0.17922,                0.16894,                0.09515,                  2.084,                   3.56,                 1.7922,             0.00080653,             0.00080653,             0.00080653
                     90,                0.74854,                0.95083,                 1.0326,                0.29271,                0.21314,                0.25811,                0.11618,                 1.9666,                 3.3352,                  1.707,             0.00079945,             0.00079945,             0.00079945
                     91,                0.77243,                 1.0546,                 1.0136,                0.35565,                0.28805,                0.28851,                0.14166,                 1.8793,                 3.1247,                 1.6564,             0.00079238,             0.00079238,             0.00079238
                     92,                  0.835,                 1.1695,                 1.0561,                0.36813,                0.28716,                0.31265,                 0.1541,                 1.7914,                 3.0809,                 1.6086,             0.00078531,             0.00078531,             0.00078531
                     93,                0.71616,                0.91524,                0.96846,                0.35723,                 0.3141,                0.29661,                0.14297,                 1.9051,                 3.1512,                 1.6704,             0.00077823,             0.00077823,             0.00077823
                     94,                0.77841,                 0.9902,                 1.0037,                0.25517,                0.20007,                0.19007,                0.09572,                 1.9977,                 3.3609,                  1.763,             0.00077116,             0.00077116,             0.00077116
                     95,                0.66467,                0.92469,                0.97548,                0.27136,                0.17388,                0.14769,                0.07688,                 2.0256,                 3.5694,                 1.8567,             0.00076409,             0.00076409,             0.00076409
                     96,                0.63442,                0.84757,                 1.0007,                0.25393,                0.18914,                0.13639,                0.06638,                 2.0692,                 3.7615,                 1.9334,             0.00075701,             0.00075701,             0.00075701
                     97,                0.82157,                  1.013,                 1.0499,                0.22311,                0.20593,                0.12212,                0.05172,                 2.1047,                 3.8073,                 1.9856,             0.00074994,             0.00074994,             0.00074994
                     98,                0.66335,                0.92747,                0.99114,                0.26389,                0.20593,                0.12434,                0.05642,                 2.1616,                  3.767,                 2.0358,             0.00074287,             0.00074287,             0.00074287
                     99,                 0.7207,                0.88984,                0.98276,                0.23129,                0.20898,                0.13352,                0.05903,                  2.129,                 3.6318,                 2.0353,             0.00073579,             0.00073579,             0.00073579
                    100,                0.71549,                 1.0506,                 1.0202,                0.25949,                0.28285,                0.17308,                 0.0607,                 2.1008,                 3.5815,                 2.0271,             0.00072872,             0.00072872,             0.00072872
                    101,                0.67924,                0.95208,                 0.9694,                0.27831,                0.26213,                0.18363,                 0.0572,                  2.111,                 3.5289,                 2.0216,             0.00072164,             0.00072164,             0.00072164
                    102,                0.67401,                0.92724,                 1.0211,                0.27636,                0.26695,                0.22476,                0.07664,                 2.0709,                 3.4658,                 2.0045,             0.00071457,             0.00071457,             0.00071457
                    103,                 0.6522,                0.79609,                0.95612,                0.28382,                0.28285,                0.23578,                0.08523,                 2.0497,                 3.4567,                  1.956,              0.0007075,              0.0007075,              0.0007075
                    104,                0.63164,                0.78119,                0.93474,                0.29721,                0.27244,                0.27098,                 0.1004,                 1.9622,                 3.4542,                 1.8806,             0.00070042,             0.00070042,             0.00070042
                    105,                0.74488,                0.87326,                 1.0069,                0.31497,                0.30048,                0.27646,                0.11581,                 1.9033,                 3.4318,                  1.822,             0.00069335,             0.00069335,             0.00069335
                    106,                0.64353,                 0.7396,                0.95011,                0.40172,                0.33804,                0.29782,                0.10673,                 1.9238,                 3.4781,                 1.8444,             0.00068628,             0.00068628,             0.00068628
                    107,                0.68184,                0.80552,                  1.007,                0.42644,                0.21613,                0.24573,                0.11993,                 1.9766,                 3.5336,                 1.9037,              0.0006792,              0.0006792,              0.0006792
                    108,                0.68941,                0.97183,                0.97825,                0.58333,                0.21314,                0.26191,                0.13652,                 2.0362,                 3.5559,                 1.9719,             0.00067213,             0.00067213,             0.00067213
                    109,                 0.7156,                0.80194,                0.99431,                0.44273,                 0.2516,                0.26681,                0.14817,                 2.1157,                 3.6354,                 2.0017,             0.00066506,             0.00066506,             0.00066506
                    110,                0.67021,                0.84556,                0.99537,                0.51966,                0.26202,                0.26457,                 0.1556,                 2.2081,                 3.6561,                 2.0528,             0.00065798,             0.00065798,             0.00065798
                    111,                0.63004,                 0.8116,                0.96802,                0.60963,                0.27244,                0.28556,                0.15712,                  2.206,                 3.5639,                 2.0849,             0.00065091,             0.00065091,             0.00065091
                    112,                0.72928,                0.92388,                 1.0573,                 0.5437,                0.30123,                0.29761,                0.16321,                 2.2358,                 3.4157,                 2.1257,             0.00064384,             0.00064384,             0.00064384
                    113,                 0.7352,                0.78828,                 1.0069,                0.51231,                0.29647,                0.30592,                0.17753,                 2.1685,                 3.1646,                 1.9996,             0.00063676,             0.00063676,             0.00063676
                    114,                0.69742,                0.84694,                0.97734,                0.45341,                0.33814,                0.30255,                0.17574,                 2.1111,                 3.0275,                  1.927,             0.00062969,             0.00062969,             0.00062969
                    115,                0.67872,                0.82009,                0.97949,                0.42047,                 0.3289,                 0.3204,                 0.1726,                 2.0201,                 2.9291,                 1.8637,             0.00062262,             0.00062262,             0.00062262
                    116,                0.60558,                0.82829,                0.94017,                0.38789,                0.36452,                0.29351,                0.15408,                 1.9799,                 2.8763,                 1.8542,             0.00061554,             0.00061554,             0.00061554
                    117,                0.71665,                0.84199,                0.99592,                0.35022,                0.40465,                0.25635,                0.12831,                 2.0369,                 2.9725,                 1.9032,             0.00060847,             0.00060847,             0.00060847
                    118,                0.64466,                 0.7469,                0.95693,                0.35395,                0.38381,                 0.2468,                0.12056,                 2.0693,                 3.0603,                 1.9373,             0.00060139,             0.00060139,             0.00060139
                    119,                0.67411,                0.76612,                0.95573,                0.25447,                0.28606,                0.19339,                0.09792,                 2.1541,                 3.2949,                 2.0571,             0.00059432,             0.00059432,             0.00059432
                    120,                 0.6636,                0.90734,                0.99193,                0.24983,                0.26522,                0.17521,                0.08789,                 2.1726,                 3.4815,                 2.1056,             0.00058725,             0.00058725,             0.00058725
                    121,                0.69902,                0.80489,                 1.0241,                0.19858,                0.15598,                0.14691,                0.07691,                 2.2026,                 3.6689,                 2.1774,             0.00058017,             0.00058017,             0.00058017
                    122,                0.63061,                 0.8407,                0.94823,                0.20117,                0.13622,                 0.1259,                0.06872,                 2.2274,                  3.777,                  2.179,              0.0005731,              0.0005731,              0.0005731
                    123,                0.60883,                0.74723,                0.94479,                 0.3738,                0.15705,                0.12937,                0.08224,                 2.1749,                  3.738,                 2.0898,             0.00056603,             0.00056603,             0.00056603
                    124,                0.66677,                0.82167,                0.95549,                0.38602,                0.16518,                0.15694,                0.10157,                 2.1242,                 3.6572,                   1.99,             0.00055895,             0.00055895,             0.00055895
                    125,                0.66224,                0.83669,                 1.0054,                0.56766,                0.17788,                0.24755,                0.14381,                 2.0932,                 3.4806,                 1.8805,             0.00055188,             0.00055188,             0.00055188
                    126,                0.60391,                0.83098,                0.94891,                 0.3849,                0.23718,                0.27052,                0.15741,                 2.0179,                 3.4418,                 1.8374,             0.00054481,             0.00054481,             0.00054481
                    127,                0.68987,                0.80289,                0.96565,                0.46683,                0.25801,                 0.2829,                0.16146,                 2.0293,                 3.4357,                 1.8386,             0.00053773,             0.00053773,             0.00053773
                    128,                0.62034,                0.78751,                0.99533,                0.47531,                0.24146,                0.27043,                0.15729,                 2.0432,                 3.4769,                 1.8485,             0.00053066,             0.00053066,             0.00053066
                    129,                0.61726,                 0.7492,                0.94806,                0.62945,                0.17788,                0.25882,                 0.1464,                 2.0417,                 3.5144,                 1.8612,             0.00052359,             0.00052359,             0.00052359
                    130,                0.64364,                0.79465,                 1.0031,                0.56322,                0.18053,                0.23781,                 0.1407,                 1.9848,                 3.4829,                 1.8279,             0.00051651,             0.00051651,             0.00051651
                    131,                  0.629,                0.78186,                0.98335,                0.22872,                0.11138,                0.18565,                0.10199,                 2.0329,                 3.5363,                  1.843,             0.00050944,             0.00050944,             0.00050944
                    132,                0.60499,                0.79499,                0.95316,                0.29026,                0.14984,                0.18192,                0.10513,                  2.027,                 3.4837,                  1.844,             0.00050236,             0.00050236,             0.00050236
                    133,                0.66504,                0.83334,                0.97464,                0.34714,                 0.1883,                0.16299,                0.08745,                 2.0635,                 3.4484,                  1.859,             0.00049529,             0.00049529,             0.00049529
                    134,                0.64004,                0.72083,                0.97764,                 0.3111,                0.17788,                0.15086,                 0.0829,                  2.091,                 3.4693,                 1.8936,             0.00048822,             0.00048822,             0.00048822
                    135,                0.55886,                0.70126,                0.94297,                0.37341,                0.20593,                0.16863,                0.08918,                 2.1146,                 3.5966,                 1.9436,             0.00048114,             0.00048114,             0.00048114
                    136,                0.60481,                0.70936,                0.95722,                0.34165,                0.20134,                0.17308,                0.09301,                 2.1168,                 3.6898,                 1.9763,             0.00047407,             0.00047407,             0.00047407
                    137,                0.58796,                0.69273,                0.97691,                0.28374,                0.11538,                0.14838,                0.08808,                 2.1564,                 3.7928,                 2.0098,               0.000467,               0.000467,               0.000467
                    138,                0.64289,                0.74339,                0.97401,                0.28252,                0.11538,                0.14841,                0.09209,                 2.2717,                 3.9382,                 2.0974,             0.00045992,             0.00045992,             0.00045992
                    139,                0.55936,                0.64218,                0.93485,                0.27576,                0.11538,                0.14702,                0.08996,                 2.3282,                 4.0311,                  2.149,             0.00045285,             0.00045285,             0.00045285
                    140,                0.49699,                0.66681,                0.92504,                0.28038,                0.11657,                0.14915,                0.08772,                 2.3643,                 4.0178,                 2.1945,             0.00044578,             0.00044578,             0.00044578
                    141,                0.63886,                0.78119,                0.93677,                0.25799,                0.20389,                0.15626,                0.07983,                 2.4403,                 3.9965,                  2.224,              0.0004387,              0.0004387,              0.0004387
